character,base,reason,face_confidence,head_confidence,derived_box07,derived_box08,accepted
avg_npc_305_1,avg_npc_305_1$1.png,no_avatar_unreported,0.9971,0.893,"[402, -20, 591, 169]","[403, -19, 591, 169]",True
avg_npc_1245_1,avg_npc_1245_1$1.png,no_avatar_unreported,,0.8709,,,False
avg_npc_1839_1,avg_npc_1839_1$1.png,no_avatar_unreported,0.999,0.9034,"[599, 12, 814, 227]","[600, 12, 815, 227]",True
avg_npc_597_1,avg_npc_597_1$1.png,no_avatar_unreported,0.9574,0.9355,"[362, -11, 639, 266]","[363, -10, 640, 267]",True
avg_npc_2036_1,avg_npc_2036_1$1.png,no_avatar_unreported,,0.0295,,,False
avg_npc_2101_1,avg_npc_2101_1$1.png,no_avatar_unreported,0.9792,0.8704,"[614, 34, 829, 249]","[614, 33, 829, 248]",True
avg_npc_570_1,avg_npc_570_1$1.png,no_avatar_unreported,0.9984,0.9193,"[408, -41, 648, 199]","[408, -41, 648, 199]",True
avg_npc_1628_1,avg_npc_1628_1$1.png,no_avatar_unreported,0.9993,0.9102,"[539, 22, 763, 246]","[540, 21, 764, 246]",True
avg_npc_189,avg_npc_189.png,no_avatar_unreported,0.969,0.8975,"[398, 35, 567, 204]","[399, 35, 567, 203]",True
avg_npc_701_1,avg_npc_701_1$1.png,no_avatar_unreported,0.9975,0.8997,"[385, 1, 563, 179]","[386, 1, 563, 179]",True
avg_npc_039_1,avg_npc_039_1.png,no_avatar_unreported,0.3131,0.3703,"[461, 114, 631, 284]","[458, 114, 629, 285]",False
avg_npc_1558_1,avg_npc_1558_1$1.png,no_avatar_unreported,,0.8898,,,False
avg_npc_785_1,avg_npc_785_1$1.png,no_avatar_unreported,0.7477,0.9006,"[427, -24, 611, 160]","[427, -24, 611, 160]",True
avg_npc_1009_1,avg_npc_1009_1$1.png,no_avatar_unreported,0.9947,0.1349,"[261, 139, 476, 355]","[261, 140, 475, 355]",False
avg_npc_2183_1,avg_npc_2183_1$1.png,no_avatar_unreported,0.9993,0.9171,"[516, -19, 745, 211]","[515, -19, 746, 211]",True
avg_npc_247,avg_npc_247.png,no_avatar_unreported,0.8841,0.8952,"[434, -15, 594, 145]","[434, -15, 594, 144]",True
avg_npc_1982_1,avg_npc_1982_1$1.png,no_avatar_unreported,0.9967,0.9122,"[641, 2, 875, 237]","[640, 1, 876, 237]",True
