character,category,base_file,no_box_reason,face_detected,face_conf,head_detected,head_conf,image_size,match_status,match_threshold,match_box,diff_total,diff_no_box
avg_npc_2086_1,avg,avg_npc_2086_1$1.png,face未检出,False,,True,0.7801,"[1048, 1048]",,,,0,0
avg_npc_2090_1,avg,avg_npc_2090_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_2090_1,avg,avg_npc_2090_1$2.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_2102_1,avg,avg_npc_2102_1$1.png,face未检出; head未检出,False,,False,,"[1408, 1408]",,,,0,0
avg_npc_2102_1,avg,avg_npc_2102_1$2.png,face未检出; head未检出,False,,False,,"[1408, 1408]",,,,0,0
avg_npc_2103_1,avg,avg_npc_2103_1$1.png,face未检出,False,,True,0.857,"[1184, 1184]",,,,0,0
avg_npc_2104_1,avg,avg_npc_2104_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_2104_1,avg,avg_npc_2104_1$2.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_2104_1,avg,avg_npc_2104_1$3.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_2105_1,avg,avg_npc_2105_1$1.png,face未检出; head未检出,False,,False,,"[1224, 1224]",,,,0,0
avg_npc_2106_1,avg,avg_npc_2106_1$1.png,face未检出; head未检出,False,,False,,"[1228, 1228]",,,,0,0
avg_npc_2107_1,avg,avg_npc_2107_1$1.png,face未检出; head未检出,False,,False,,"[1228, 1228]",,,,0,0
avg_npc_2108_1,avg,avg_npc_2108_1$1.png,face置信度不足(0.750<=0.8),True,0.7504,True,0.8896,"[1124, 1124]",,,,0,0
avg_npc_210_1,avg,avg_npc_210_1.png,face置信度不足(0.744<=0.8),True,0.7436,True,0.8905,"[1024, 1024]",,,,6,6
avg_npc_2110_1,avg,avg_npc_2110_1$1.png,face未检出,False,,True,0.8874,"[1200, 1200]",,,,0,0
avg_npc_2111_1,avg,avg_npc_2111_1$1.png,face未检出; head未检出,False,,False,,"[1200, 1200]",,,,0,0
avg_npc_2112_1,avg,avg_npc_2112_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
